Symbol	Name
TCTH	TSX Comp Stocks Above 200-Day Average
TCTW	TSX Comp Stocks Above 20-Day Average
TICK	NYSE Tick
TICX	NYSE Tick
TIKI	DOW Tick
TIKX	DOW Tick
TNX	10-Year Treasury Note
TOB	Tobacco Index
TOOC	Tsx Capped Composite Index
TPXR	S&P C.S. Fl-Tampa Home Price Index
TQCK	NASD Tick
TQCX	NASD Tick
TRA	Nasdaq Transportation
TRCCI	CRB Commodity Continuous Index
TRIA	AMEX Trin
TRIN	NYSE Trin
TRIQ	NASD Trin
TSFI	TSX 60 Stocks Above 50-Day Average
TSOF	TSX 60 Stocks Above 150-Day Average
TSOH	TSX 60 Stocks Above 100-Day Average
TSTH	TSX 60 Stocks Above 200-Day Average
TSTW	TSX 60 Stocks Above 20-Day Average
TSX	Tsx Composite Index
TTCD	Tsx Consumer Discretionary Capped Index
TTCS	Tsx Consumer Staples Capped Index
TTEN	Tsx Capped Energy Index
TTFS	Tsx Financials Capped Index
TTGD	Tsx Global Gold Index
TTHC	Tsx Health Care Capped Index
TTIN	Tsx Industrials Capped Index
TTMN	Tsx Metals And Mining Capped Index
TTMT	Tsx Materials Capped Index
TTRE	Tsx Real Estate Capped Index
TTTK	Tsx Information Tech Capped Index
TTTS	Tsx Telecom Services Capped Index
TTUT	Tsx Utilities Capped Index
TVFI	TSX Venture Stocks Above 50-Day Average
TVOF	TSX Venture Stocks Above 150-Day Average
TVOH	TSX Venture Stocks Above 100-Day Average
TVTH	TSX Venture Stocks Above 200-Day Average
TVTW	TSX Venture Stocks Above 20-Day Average
TWII	Taiwan Weighted Index
TXBE	Tsx Global Base Metals Ew Index
TXBM	Tsx Global Base Metals Index
TXCT	Tsx Clean Technology Index
TXDC	Tsx Composite Dividend Index
TXDE	Tsx Diversified Banks Ew Index
TXDV	Tsx Canadian Dividend Aristocrats Index
TXEI	Tsx Equity Income Index
TXEW	Tsx 60 Equal Weight Index
TXFO	Tsx Completion Index
TXGM	Tsx Global Mining Index
TXOE	Tsx Oil And Gas Ew Index
TXPR	Tsx Preferred Share Index
TXSC	Tsx 60 Capped Index
TXSI	Tsx 60 Shariah Index
TXSX	Tsx 60 Index
TXTW	Tsx Smallcap Index
TYX	30-Year Treasury Bond
UNCA	AMEX Unchanged Stocks
UNCD	OTC Unchanged Stocks
UNCE	ETFS  Unchanged Stocks
UNCN	NYSE Unchanged Stocks
UNCQ	NASD Unchanged Stocks
UNCS	TSX Unchanged Stocks
UNCT	Total Unchanged Stocks
UNCV	Tsxv Unchanged Stocks
UNCX	CAD Total Unchanged Stocks
UOI	US Oil Iopv
UTY	Phlx Utility Index
UVCA	AMEX Unchanged Volume
UVCD	OTC Unchanged Volume
UVCE	ETFS  Unchanged Volume
UVCN	NYSE Unchanged Volume
UVCQ	NASD Unchanged Volume
UVCS	TSX Unchanged Volume
UVCT	Total Unchanged Volume
UVCV	Tsxv Unchanged Volume
UVCX	CAD Total Unchanged Volume
VFTSE	FTSE Volatility Index
VFWA	Vol Index First Forward Implied Volatility
VFWB	Vol Index Second Forward Implied Volatility
VFY	Mini Biotechnology Index
VGH	Mini Pharmaceutical Index
VIO	CBOE Oil Index Reduced Leap
VIX	CBOE Volatility Index
VJW	Mini Securities Broker Dealer In
VLA	Value Line Index
VLG	Value Line Geometric
VVOL	Vol Index Average Forward Implied Volatility
VWA	Spx Ask - Market Volatility
VWB	Spx Bid - Market Volatility
VXB	Jumbo CBOE Volatility
VXD	DJIA Volatility
VXDE	Dec CBOE Volatility
VXJU	Jun CBOE Volatility
VXMA	Mar CBOE Volatility
VXN	Nasdaq 100 Volatility
VXO	S&P 100 Volatility
VXSE	Sep CBOE Volatility
VXV	S&P 500 3M Volatility
WDXR	S&P C.S. Dc-Washington Home Price Index
WIV	Cboe/Cbot Wheat Volatility Index
WIX	Cboe/Cbot Wheat Volatility Index
WMX	ISE Walmart Suplr Index
XAL	Airline Index
XAO	XAO All Ordinaries
XAU	Phlx Gold/Silver Index
XAX	AMEX Composite
XBD	Sec Broker Dealr
XBEL	Brussels BEL 20
XBS	AMEX Securities Broker/Dealer I
XCI	Computer Tech
XEO	S&P 100 Index European Style
XFI	Financial Ndx
XHL	Healthcare Ndx
XIBX	IBEX 35
XID	Industrial Ndx
XII	Institutionl Ndx
XIT	Info Tech Ndx
XJO	S&P/ASX 200
XMI	Major Market Index
XNA	Nat Resource Ndx
XNG	Natural Gas
XOI	Oil Index
XSP	S& P 500 MINI-SPX OPTIO    IND
XSV	AMEX Institutional Index Open S
XTC	N.A. Telecom Ndx
XTV	North American Telecommunicatio
XU100	Borsa Istanbul 100 Index
ZAX	Zacks Micro Cap Index
ZOC	CBOE Technology Index Reduced Leap
