Symbol	Name
DTCI	DOW Composite All Reit Tr Index
DTEI	DOW Equity All Reit Tr Index
DTFI	DOW Tran Stocks Above 50-Day Average
DTFX	Cme FX Index
DTOF	DOW Tran Stocks Above 150-Day Average
DTOH	DOW Tran Stocks Above 100-Day Average
DTTH	DOW Tran Stocks Above 200-Day Average
DTTW	DOW Tran Stocks Above 20-Day Average
DTWC	DOW Composite Tr
DTWI	DOW Industrials Tr
DTWT	DOW Transportation Tr
DTWU	DOW Utilities Tr
DUBS	DJ-UBS Commodity Index
DUFI	DOW Util Stocks Above 50-Day Average
DUOF	DOW Util Stocks Above 150-Day Average
DUOH	DOW Util Stocks Above 100-Day Average
DUSL	U.S. Large-Cap Index
DUSM	U.S. Mid-Cap Index
DUSS	U.S. Small-Cap Index
DUTH	DOW Util Stocks Above 200-Day Average
DUTW	DOW Util Stocks Above 20-Day Average
DVAA	S&P 500 Forward Divd - 2010
DVAB	S&P 500 Forward Divd - 2011
DVCA	AMEX Declining Volume
DVCD	OTC Declining Volume
DVCE	ETFS  Declining Volume
DVCN	NYSE Declining Volume
DVCQ	NASD Declining Volume
DVCS	TSX Declining Volume
DVCT	Total Declining Volume
DVCV	Tsxv Declining Volume
DVCX	CAD Total Declining Volume
DVDE	Implied Forward Dvs December
DVJN	Implied Forward Dvs June
DVMR	Implied Forward Dvs March
DVS	S&P 500 Dividend Index - 10X
DVST	Implied Forward Dvs September
DWC	Dynamic Building And Constrcutio
DWCB	U.S. Banks Total Stock Market Index
DWE	Dynamic Energy Exploration & Pr
DWJ	Dynamic Insurance Intellidex
DWO	Dynamic Oil Services Intellidex
DWR	Dynamic Retail Intellidex
DWU	Dynamic Utilities Intellidex
DWY	Dynamic Telecommunication & Wir
DXG	AMEX Spade Defense Setl
DXS	Spade Defense
DXY	US Dollar Index
DYH	Dynamic Top 200 Intell
DYI	$Mkt Intellidex
DYO	OTC Intellidex
DZC	Dynamic Software Intellidex
DZE	Dynamic Semiconductor Intellide
DZF	Dynamic Food & Beverage Intelli
DZH	Dynamic Hardware & Cons Elec In
DZL	Dynamic Leisure&Entertainment I
DZM	Dynamic Media Intellidex
DZN	Dynamic Networking Intellidex
DZO	Dynamic Biotech & Genome Intell
DZR	Dynamic Pharmaceutical Intellid
ECO	Wh Clean Energy
EED	Claymore Bric ETF Iopv
EMX	Mer Lyn Euro Ndx
EPX	Sig Oil Exploration & Production
ESX	Sel Euro 50 Ndx
EUX	Majr 11 Intl Ndx
EVZ	Euro FX Volatility
EZB	Dynamic Bs Mt Intellidex
EZF	Dynamic Fincl Intellidex
EZK	Dynamic Enrgy Intellidex
EZL	Dynamic Indus Intellidex
EZS	Dynamic Cn St Intellidex
EZV	Dynamic Techn Intellidex
EZX	Dynamic Hlthc Intellidex
EZZ	Dynamic Cn Ds Intellidex
FBV	Powershrs Db G10 Fd Iopv
FTSA	FTSE 350
FTSE	FTSE 100 Index
FTSM	FTSE Mid 250 Index
FVX	5-Year Treasury Note
GDM	AMEX Gold Miners
GLD	Gold Index
GLI	Mer Lyn Gbl Mkt
GMI	Mkt Vector Gold Min Iopv
GNX	S&P GSCI Index
GVX	Goldman Sachs Livestock Sub Index
GVZ	Gold Volatility
GWI	M Lynch Spdr
HGX	Phlx Housing Index
HIGA	AMEX New Highs
